"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"N0 V N1 Loc N2 V1-inf W";"binary";" ";;;"Sentence with a direct object N1, a nominal locative object and an infinitive clause with an implicit subject coreferent with N1";"Paul envoie Marie dans le bureau demander du feu";"Phrase avec un objet direct N1, un objet locatif nominal et une infinitive dont le sujet implicite est coréférent à N1"
"N0 V N1 Loc N2 matériau, Loc # de";"binary";"N0 V N1 Loc N2matériau, Loc # de";"N0 V N1 Loc(#de)N2 source";", 32A";"Sentence with a direct object and a locative object denoting material for the process, but introduced by a locative preposition other than de";"Paul a sculpté un ange dans le marbre";"Phrase à un objet direct et un objet locatif, dénotant un matériau utilisé dans le procès, mais introduit par une préposition locative autre que de"
"N0 V N1 Loc N2pc, destination de N2c";"binary";"N0 V N1 Loc N2pc,dest de N2c";"N0 V N1 Loc N2pc,dest de N2c";", 32A";"A locative object Loc N2, interpreted as a destination, can have a nominal post-modifier de N2c which denotes a person while N2 denotes a body part of the person";"Paul a tatoué une fleur sur l'épaule de Marie";"L'objet locatif Loc N2, interprété comme lieu de destination, peut avoir un complément de nom de N2c dénotant une personne et dénoter une partie du corps de la personne"
"N0 V N1 Loc N2texte destination";"binary";"N0 V N1 Loc N2dest(=texte)";;", 32A";"The object N2 can denote a text and be interpreted as a destination; the sentence has a metaphorical meaning";"Paul a bâti une série d'hypothèses dans son bouquin";"L'objet N2 peut dénoter un texte et être interprété comme un lieu de destination ; la phrase a un sens métaphorique"
"N0 V N1 Loc N3 destination";"binary";"dest seule";;", 32PL, 36DT, 38L, 38LH";"Sentence with a direct object and a locative object Loc N3 interpreted as a destination, by erasement of the locative object interpreted as a source";"Max a accompagné Luc chez lui";"Phrase avec un objet direct et un objet locatif Loc N3 interprété comme lieu de destination, par effacement de l'objet locatif interprété comme source"
"N0 V N1 Loc N-hum";"binary";"N0 V N1 Loc N2-hum";"N0 V N1 Loc N";", 36DT, 39";"Sentence with a direct object and a locative object Loc N, which has a locative preposition, and is interpreted as a source place or as a destination place";"Luc flanque un coup sur la table (cf. Luc flanque un coup à Paul) ; Luc barbote 100 F dans la caisse (cf. Luc barbote 100 F à Paul) ; On a nommé Paul à ce poste";"Phrase avec un objet direct et un objet locatif Loc N, qui a une préposition locative et est interprété comme lieu source ou comme lieu de destination"
"N0 V N1 N2";"binary";;;;"Sentence with two direct objects";"Luc appelle son fils Paul";"Phrase à deux objets directs"
"N0 V N1 Prép N2";"binary";"[Prép z.]";;", 15";"Sentence with a direct object N1 and a prepositional object Prép N2, possibly by erasement of a preposition introducing N1";"Paul tient cela de Luc";"Phrase à un objet direct N1 et un objet prépositionnel Prép N2, éventuellement par effacement d'une préposition introduisant N1"
"N0 V N1 Prép N2 contre Nhum";"binary";"Prép N2 =: contre Nhum";;", 14";"An additional complement with the preposition contre denotes a person";"Luc s'accorde avec Marie contre Luc à forger des preuves";"Un complément supplémentaire avec la préposition contre dénote une personne"
"N0 V N1 Prép N2 Prép N3";"binary";;;;"Sentence with a direct object N1 and two prepositional objects";"Max traduit ce texte de l'anglais au turc";"Phrase à un objet direct N1 et deux objets prépositionnels "
"N0 V N1 source";"binary";"N0 V N1";;", 35L";"A locative object N1 interpreted as a source can become the unique object and a direct object, by erasement of other objects and of the preposition introducing N1";"Max a déserté de son régiment = Max a déserté son régiment";"L'objet locatif N1 interprété comme un lieu de source peut devenir l'unique objet et un objet direct, par effacement d'autres objets et de la préposition introduisant N1"
"N0 V N1 sur N1pc";"binary";"N0 V N1 sur N1pc";;", 32PL, 38LD, 38LR";"Sentence with a direct object denoting a person or a concrete object, and a locative object denoting a body part of the person or a part of the concrete object, and introduced by the preposition sur. The locative object indicates which part of the body or concrete object is concerned by the locative relation. The prepositional object present in the basic construction is absent from this one";"Max allonge Marie sur le dos ; Max dispose les livres sur la tranche";"Phrase avec un objet direct dénotant une personne ou un objet concret, et un objet locatif dénotant une partie du corps de la personne ou une partie de l'objet concret, et introduit par la préposition sur. L'objet locatif indique quelle partie du corps ou de l'objet concret est concernée par le rapport locatif. L'objet prépositionnel présent dans la construction de base est absent de celle-ci."
"N0 V N1 V0-inf W";"binary";"N0 V N1 V0-inf W";;", 38L1";"Sentence with a nominal direct locative object and a non-prepositional infinitive clause with an implicit subject coreferent with that of the main verb";"Paul traverse la rue acheter du pain";"Phrase avec un objet locatif direct nominal et une infinitive directe à sujet implicite coréférent au sujet du verbe principal"
"N0 V N1 V1-inf W";"binary";" ";;" ";"Sentence with a nominal direct object and a non-prepositional infinitive clause with an implicit subject coreferent with the nominal object";"Paul envoie Luc acheter du pain";"Phrase avec un objet direct nominal et une infinitive directe à sujet implicite coréférent à l'objet nominal"
"N0 V N1-hum";"binary";"N0 U N-hum";;", 1";"Sentence with the same subject, the verb V, and a direct nominal object with a non-human meaning";"Paul commence le tri des vis ; Paul commence les vis ; Paul choisit entre faire du ski et faire du saut = Paul choisit le ski ou le saut ; Paul choisit entre bombarder le pont et bombarder l'usine = Paul choisit le pont ou l'usine";"Phrase avec le même sujet, le verbe V et un objet direct nominal à sens non humain"
"N0 V N1abs Loc (N2abs+N3abs)";"binary";"N0 V Qu P Loc N2abs";;", 32PL, 38LH, 38LS";"Sentence with an object N1 denoting an abstract entity, and an object Loc N2 or Loc N3 introduced by a locative preposition and denoting an abstract entity; the sentence has a metaphorical meaning";"Luc collecte des exemples dans ses souvenirs ; Luc relègue ses rancunes dans les mauvais souvenirs";"Phrase avec un objet N1 dénotant une entité abstraite, et un objet Loc N2 ou Loc N3 introduit par une préposition locative et dénotant une entité abstraite ; la phrase a un sens métaphorique"
"N0 V N1abs Loc N2abs";"binary";"N0 V Qu P Loc N2abs";"N1 =: Nabs, N2 =: Nhum";", 36SL, 38L0, 38LD, 38LR";"Sentence with an object N1 denoting an abstract entity, and an object Loc N2 introduced by a locative preposition and denoting an abstract entity; the sentence has a metaphorical meaning";"Paul a adapté la théorie aux nouveaux faits";"Phrase avec un objet N1 dénotant une entité abstraite, et un objet Loc N2 introduit par une préposition locative et dénotant une entité abstraite ; la phrase a un sens métaphorique"
"N0 V N1c";"binary";"N0 V N1c";;", 32R1";"A nominal direct object N1 with a nominal post-modifier de N1c can be replaced by N1c alone (metonymic reduction)";"Paul contrecarre les projets de Marie = Paul contrecarre Marie ; cf. Paul prévient tous les désirs de Marie/Paul prévient Marie";"L'objet direct nominal N1 avec un complément de nom de N1c peut être remplacé par N1c seul (réduction métonymique)"
"N0 V N1c à N1pc";"binary";"N0 V N1c à N1pc";;", 32CL";"A nominal direct object of the form N1pc de N1c, where N1c denotes a person or a concrete object and N1pc denotes a body part of the person or a part of the concrete object, can be replaced by N1c and a locative object à N1pc (restructuration)";"La flèche a atteint le bras de Luc = La flèche a atteint Luc au bras";"L'objet direct nominal de la forme N1pc de N1c, où N1c dénote une personne ou un objet concret et N1pc dénote une partie du corps de la personne ou une partie de l'objet concret, peut être remplacé par N1c et l'objet locatif à N1pc (restructuration)"
"N0 V N1c par N1pc";"binary";"N0 V N1c par N1pc";;", 32CL";"A nominal direct object of the form N1pc de N1c, where N1c denotes a person or a concrete object and N1pc denotes a body part of the person or a part of the concrete object, can be replaced by N1c and a locative object par N1pc (restructuration)";"Luc a pris la main de Marie = Luc a pris Marie par la main";"L'objet direct nominal de la forme N1pc de N1c, où N1c dénote une personne ou un objet concret et N1pc dénote une partie du corps de la personne ou une partie de l'objet concret, peut être remplacé par N1c et l'objet locatif par N1pc (restructuration)"
"N0 V N1c sur N1pc";"binary";"N0 V N1c sur N1pc";;", 32CL";"A nominal direct object of the form N1pc de N1c, where N1c denotes a person or a concrete object and N1pc denotes a body part of the person or a part of the concrete object, can be replaced by N1c and a locative object sur N1pc (restructuration)";"Luc a embrassé la joue de Marie = Luc a embrassé Marie sur la joue";"L'objet direct nominal de la forme N1pc de N1c, où N1c dénote une personne ou un objet concret et N1pc dénote une partie du corps de la personne ou une partie de l'objet concret, peut être remplacé par N1c et l'objet locatif sur N1pc (restructuration)"
"N0 V N1hum";"binary";"N0 U Nhum";;", 1";"Sentence with the same subject, the verb V, and a direct nominal object denoting a person";"Paul choisit entre viser l'homme et viser l'arme = Paul choisit l'homme ou l'arme";"Phrase avec le même sujet, le verbe V et un objet direct nominal dénotant une personne"
"N0 V N1hum de N2abs";"binary";"Nhum de Nabst";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Sentence with an object N1 denoting a person, and a locative object de N2 denoting an abstract entity; the sentence has a metaphorical meaning";"Paul a sorti Luc de ses problèmes ; L'aube nous ensoleilla d'espoir";"Phrase avec un objet N1 dénotant une personne, et un objet locatif de N2 dénotant une entité abstraite.  La phrase a un sens métaphorique "
"N0 V N1hum Loc (N2abs+N3abs)";"binary";;;", 32PL, 38LH, 38LS";"Sentence with an object N1 denoting a person, and a locative object Loc N2 or Loc N3 introduced by a preposition and denoting an abstract entity; the sentence has a metaphorical meaning";"Ces épreuves rassemblent les habitants dans un destin commun";"Phrase avec un objet N1 dénotant une personne, et un objet locatif Loc N2 ou Loc N3 introduit par une préposition et dénotant une entité abstraite ; la phrase a un sens métaphorique "
"N0 V N1hum Loc N2abs";"binary";"Nhum Loc Nabst";;", 36SL, 38LD, 38LR";"Sentence with an object N1 denoting a person, and a locative object Loc N2 introduced by a preposition and denoting an abstract entity; the sentence has a metaphorical meaning";"Cette action a gravé Paul dans les mémoires ; Son éducation a enlisé Léa dans ses complexes";"Phrase avec un objet N1 dénotant une personne, et un objet locatif Loc N2 introduit par une préposition et dénotant une entité abstraite ; la phrase a un sens métaphorique "
"N0 V N1pc de N1c";"binary";"N0 V N1pc de N1c";;", 32A";"A direct object N1 can take the form N1pc de N1c, where N1c denotes a person and N1pc denotes a body part of the person";"Paul dessine le bras de Léa ";"L'objet direct N1 peut prendre la forme N1pc de N1c, où N1c dénote une personne et N1pc dénote une partie du corps de la personne"
"N0 V N2";"binary";"N0 V N2";;", 13, 32CV, 32PL, 36R, 39, 35L, 35ST, 37E";"An object N2 can become the unique object and a direct object, by erasement of other objects and possibly of the preposition introducing N2";"Luc excuse Paul de ces maladresses = Luc excuse ces maladresses ; On a nommé Max ambassadeur = On a nommé un ambassadeur ; Luc rallie des mercenaires en une armée = Luc rallie une armée";"L'objet N2 peut devenir objet direct, par effacement des autres objets  et éventuellement de la préposition de N2"
"N0 V N2 (E+de N1 source)";"binary";"N0 V N2 de N1";"N0 V N2 (de N1)";", 37E";"Sentence where an object N2 is direct, by erasement of its preposition, and an object N1 denoting a source is erased or occurs with the preposition de";"J'ai débarrassé le grenier de toutes ces caisses = J'ai débarrassé toutes ces caisses du grenier";"Phrase dans laquelle l'objet N2 est direct, par effacement de sa préposition, et l'objet N1, dénotant un lieu source, est effacé ou apparaît avec la préposition de"
"N0 V N2 (E+de N1)";"binary";"N0 V N2 de N1";"N0 V N2 (de N1)";", 36DT, 36SL, 38L0, 38LD, 38LR, 38LS";"Sentence where a locative object N2 is direct, by erasement of its preposition, and an object N1 is erased or occurs with the preposition de";"Luc livre du vin à Paul = Luc livre Paul (E+de vin); Luc emmanche un manche sur la pelle = Luc emmanche la pelle (E+d'un manche) ; Luc asperge du vin sur le mur = Luc asperge le mur (E+de vin)";"Phrase dans laquelle l'objet locatif N2 est direct, par effacement de sa préposition, et l'objet N1 est effacé ou apparaît avec la préposition de"
