"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"435";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"sauter";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a sauté sur Léa pour l'engueuler"
"436";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"sauter";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a sauté sur son fusil"
"437";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"scissionner";"-";"+";"-";"en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le groupe a scissionné en 34 courants"
"438";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"sécher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max sèche d'(ennui+impatience)"
"439";"~";"~";"~";"~";"~";"ne se";"+";"-";"-";"-";"+";"séparer";"+";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne se sépare jamais de son briquet "
"440";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"séparer";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est séparé de son secrétaire"
"441";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"servir";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se sert d'un couteau(pour manger+comme ouvre bouteille)"
"442";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"sévir";"-";"+";"-";"contre";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"L'Etat sévit contre les spéculateurs"
"443";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"solder";"-";"-";"+";"par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le budget se solde par un déficit"
"444";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"sonner";"-";"+";"-";"de";"cor";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max sonne du cor"
"445";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"sortir";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La bouteille sort du frigo"
"446";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"sortir Adj";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul est sorti indemne de l'accident"
"447";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"souffrir";"-";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Cet appareil souffre d'un défaut de fabrication"
"448";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"soumissionner";"-";"+";"-";"pour";"travaux";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Cette entreprise a soumissionné pour(E+assurer)ces travaux"
"449";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"souper";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"souper";"Max a soupé d'un chapon"
"450";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"soupirer";"-";"+";"-";"auprès de+pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max soupire (auprès de+pour)Zoé"
"451";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"soupirer";"-";"+";"-";"après";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max soupire après les vacances"
"452";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"statuer";"-";"+";"-";"sur";"question";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Le conseil a statué sur la réouverture des maisons"
"453";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"subsister";"-";"+";"-";"de";"expédients";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max subsiste d'expédients"
"454";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"succomber";"-";"+";"-";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a succombé devant(l'adversaire+le nombre)"
"455";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"suer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max sue sur sa thèse"
"456";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"surenchérir";"-";"+";"-";"sur";"offre";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a surenchéri sur(l'offre de+E)Léa"
"457";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"survivre";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max survit dans ses écrits"
"458";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"sympathiser";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max sympathise avec(E+la douleur)la famille éplorée"
"459";"+";"-";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"tabler";"-";"+";"-";"sur";"qqch";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a tablé sur le départ de Léa"
"460";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"taper";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tape sur son piano"
"461";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tapoter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tapote son piano"
"462";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tâter";"-";"+";"-";"de";"activité";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a tâté de(l'anglais+la prison)"
"463";"~";"~";"~";"~";"~";"y";"-";"-";"-";"+";"-";"tâter";"-";"+";"-";"en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max y tâtait en math"
"464";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"teindre";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Sa courtoisie se teint d'ironie"
"465";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"teinter";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Sa courtoisie se teinte d'ironie"
"466";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tendre";"-";"+";"-";"vers";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La courbe tend vers zéro"
"467";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tenir";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le pont tient contre les crues"
"468";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"tenir";"-";"+";"-";"de";"son père";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul tient de sa mère"
"469";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tenir";"-";"+";"-";"pour";"opinion";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Paul tient pour cette solution"
"470";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"tenir";"-";"+";"-";"pour";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max en tient pour(Luc+ce parti)"
"471";"+";"+";"+";"-";"-";"en";"-";"+";"-";"-";"-";"terminer";"-";"+";"-";"avec";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Léa en a terminé avec(son travail+Max)"
"472";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tester";"-";"+";"-";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a testé en faveur de ses neveux"
"473";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tirer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette couleur tire sur le bleu"
"474";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tirer";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'escrimeur a tiré contre son adversaire"
"475";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tirer";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max tire sur la(sonnette+corde)"
"476";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tirer";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max tire sur sa(cigarette+pipe)"
"477";"~";"~";"~";"~";"~";"s'en";"+";"+";"-";"-";"-";"tirer";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'en tire avec une engueulade"
"478";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"tirer Advm";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est bien tiré de son travail"
"479";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"titrer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce journal titre sur la mort de Max"
"480";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce truand est tombé pour proxénétisme"
"481";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette pièce tombe dans la pornographie"
"482";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"en";"morceaux";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Cette tombe en(morceaux+lambeaux+pièces)"
"483";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La foule est tombée sur le truand"
"484";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max est tombé sur Ida dans le train"
"485";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tourner";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"la conversation tourne sur les élections"
"486";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tourner";"-";"+";"-";"autour de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La terre tourne autour du soleil"
"487";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tourner";"-";"+";"-";"en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'affaire tourne en plaisanterie"
"488";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"tourner";"-";"-";"+";"vers";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se tourne vers(la justice+les maths)"
"489";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"traduire";"-";"-";"+";"par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La fatigue se traduit par un évanouissement"
"490";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"trancher";"-";"+";"-";"sur";"couleur";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La couleur du tapis tranche (avec+sur)celle des rideaux"
"491";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"transiger";"-";"+";"-";"avec";"devoir";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max transige avec son devoir"
"492";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"transpirer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a transpiré sur sa thèse"
"493";"+";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"travailler";"-";"+";"-";"pour";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le temps travaille pour Max"
"494";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"trembler";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tremble pour(Luc+son avenir)"
"495";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tremper";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Flo trempe dans le scandale"
"496";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tricher";"-";"+";"-";"avec";"loi";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max triche avec(Léa+la maladie)"
"497";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tricher";"-";"+";"-";"sur";"âge";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max triche sur(les prix+son âge)"
"498";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"triompher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a triomphé de(Max+ses difficultés)"
"499";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"tripatouiller";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tripatouille dans l'immobilier"
"500";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"tripoter";"-";"+";"-";"dans";"politique";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Bob tripote dans l'immobilier"
"501";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"tromper";"-";"-";"+";"de";"chapeau";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est trompé d'étage"
"502";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"tuer";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est tué sur(son steak+ma proposition)"
"503";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"varier";"-";"+";"-";"avec";"pression";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"La température varie avec la pression"
"504";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"veiller";"-";"+";"-";"sur";"intérêts";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max veille sur(E+les intérêts de)Ida"
"505";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"venger";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est vengé sur les frites"
"506";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"verser";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max verse dans la facilité"
"507";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"vitupérer";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vitupère contre les abus"
"508";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"vivre";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette coutume vit dans cette région"
"509";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"vivre";"-";"+";"-";"avec";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max vit avec Ida"
"510";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"vivre";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vit pour(la science+son travail)"
"511";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"vivre";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vit sur ses économies"
"512";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"voler";"-";"+";"-";"en";"morceaux";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"La porte a volé en(morceaux+éclats)"
"513";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"voter";"-";"+";"-";"contre+pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a voté (pour+contre)Luc"
"514";"+";"-";"-";"-";"-";"ne";"-";"-";"-";"-";"+";"vouloir";"+";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max ne veut pas de(Luc+ce vin)"

