"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"819";"~";"~";"<E>";"-";"-";"reprendre";"-";"+";"-";"territoire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les huns ont repris (le territoire+la ville) à l'ennemi"
"820";"~";"~";"<E>";"-";"-";"représenter";"-";"+";"-";"firme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max représente cette firme"
"821";"+";"-";"<E>";"-";"-";"reproduire";"-";"+";"-";"individus";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Cette espèce reproduit des individus"
"822";"~";"~";"<E>";"-";"-";"requérir";"-";"+";"-";"peine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le procureur  requis une loude peine"
"823";"~";"~";"<E>";"-";"-";"réserver";"-";"+";"-";"plat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le cuisinier réserve ce plat"
"824";"+";"-";"<E>";"-";"-";"résilier";"-";"+";"-";"contrat";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a résilié son  problème"
"825";"~";"~";"<E>";"-";"-";"résoudre";"-";"+";"-";"problème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"(Max+Ceci) résout le problème"
"826";"+";"-";"<E>";"-";"-";"respecter";"-";"+";"-";"tradition";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max respecte les traditions"
"827";"~";"~";"<E>";"-";"-";"resquiller";"-";"+";"-";"place";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a resquillé une place dans la queue"
"828";"~";"~";"<E>";"-";"-";"ressentir";"-";"+";"-";"douleur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max ressent une douleur"
"829";"~";"~";"<E>";"-";"-";"restaurer";"-";"+";"-";"monarchie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a restauré la monarchie"
"830";"-";"+";"<E>";"-";"-";"restituer";"-";"+";"-";"original";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"On a restitué l'original de ce texte"
"831";"+";"-";"<E>";"-";"-";"restreindre";"-";"+";"-";"dépenses";"-";"+";"+";"-";"-";"-";"+";"<E>";"?";"On a restreint les dépenses sur la nourriture"
"832";"+";"-";"<E>";"-";"-";"retarder";"-";"+";"-";"moment";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Ceci a retardé le moment du passage du train"
"833";"+";"-";"<E>";"-";"-";"retarder";"-";"+";"-";"montre";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max a retardé la montre de dix minutes"
"834";"+";"-";"<E>";"-";"-";"retenir";"-";"+";"-";"chiffre";"-";"-";"-";"-";"+";"-";"-";"retenue";"?";"Je pose 3 et je  retiens 2"
"835";"+";"-";"<E>";"-";"-";"retenir";"-";"+";"-";"colère";"-";"-";"+";"+";"-";"-";"+";"<E>";"?";"Max retiens sa colère"
"836";"+";"-";"<E>";"-";"-";"retirer";"-";"+";"-";"paroles";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a retiré ses paroles"
"837";"~";"~";"<E>";"-";"-";"retirer";"-";"+";"-";"proposition";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max retire sa proposition"
"838";"~";"~";"<E>";"-";"-";"retirer";"-";"+";"-";"vêtement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max retire son vêtement"
"839";"~";"~";"<E>";"-";"-";"retourner";"-";"+";"-";"vêtement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a retourné son vêtement"
"840";"~";"~";"<E>";"-";"-";"retourner";"-";"+";"-";"sol";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max retourne le sol"
"841";"~";"~";"<E>";"-";"-";"retransmettre";"-";"+";"-";"<E>";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le match sera retransmis "
"842";"+";"-";"<E>";"-";"-";"retrouver";"-";"+";"-";"usage de N";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a retrouvé l'usage de ses mains"
"843";"~";"~";"<E>";"-";"-";"retrouver";"-";"+";"-";"santé";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a retrouvé la santé"
"844";"~";"~";"<E>";"-";"-";"revaloriser";"-";"+";"-";"monnaie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ces mesures ont revalorisé la monnaie"
"845";"~";"~";"<E>";"-";"-";"revendiquer";"-";"+";"-";"crime";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'ETA revendique le crime"
"846";"+";"-";"<E>";"-";"-";"réviser";"-";"+";"-";"leçon";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a révisé ses leçons"
"847";"+";"-";"<E>";"-";"-";"réviser";"-";"+";"-";"loi";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"On a révisé la loi"
"848";"+";"-";"<E>";"-";"-";"réviser";"-";"+";"-";"opinion";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a révisé son opinion"
"849";"~";"~";"<E>";"-";"-";"revitaliser";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce produit revitalise la peau"
"850";"~";"~";"<E>";"-";"-";"revivifier";"-";"+";"-";"cellule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce produit revivifie les cellules"
"851";"+";"-";"<E>";"-";"-";"revoir";"-";"+";"-";"leçon";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max revoit sa leçon"
"852";"+";"-";"<E>";"-";"-";"révoquer";"-";"+";"-";"loi";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a révoqué cette loi"
"853";"~";"~";"<E>";"-";"-";"ridiculiser";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a ridiculisé son adversaire"
"854";"+";"-";"<E>";"-";"-";"rimer";"-";"+";"-";"texte";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a rimé son texte"
"855";"~";"~";"<E>";"-";"-";"robotiser";"-";"+";"-";"machine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La direction va robotiser toutes les machines"
"856";"~";"~";"<E>";"-";"-";"roder";"-";"+";"-";"moteur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a rodé son moteur"
"857";"~";"~";"<E>";"-";"-";"romaniser";"-";"+";"-";"caractère";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a romanisé les caractères grecs"
"858";"~";"~";"<E>";"-";"-";"rompre";"-";"+";"-";"routine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci rompt la routine"
"859";"~";"~";"<E>";"-";"-";"rompre";"-";"+";"-";"contrat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a rompu le contrat"
"860";"~";"~";"<E>";"-";"-";"ronéoter";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a ronéoté ce document sur du papier bleu"
"861";"~";"~";"<E>";"-";"-";"ronéotyper";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a ronéotypé ce document sur du papier bleu"
"862";"~";"~";"<E>";"-";"-";"rôtir";"-";"+";"-";"plant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le soleil a rôti les plants"
"863";"~";"~";"<E>";"-";"-";"rouiller";"-";"+";"-";"pratique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le manque de pratique a rouillé l'anglais de Max"
"864";"~";"~";"<E>";"-";"-";"rouler";"-";"+";"-";"véhicule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max roule en véhicule"
"865";"~";"~";"<E>";"-";"-";"roussir";"-";"+";"-";"plante";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le soleil a roussi la plante"
"866";"+";"-";"<E>";"-";"-";"rouvrir";"-";"+";"-";"établissement";"-";"+";"-";"+";"-";"+";"-";"<E>";"?";"On a rouvert les salles de jeu"
"867";"~";"~";"<E>";"-";"-";"saborder";"-";"+";"-";"projet";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida a sabordé son projet"
"868";"~";"~";"<E>";"-";"-";"saborder";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sabordé son bateau"
"869";"~";"~";"<E>";"-";"-";"saboter";"-";"+";"-";"négociation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a saboté les négociations"
"870";"~";"~";"<E>";"-";"-";"sacrifier";"-";"+";"-";"marchandise";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le commerçant a sacrifié cette marchandise"
"871";"~";"~";"<E>";"-";"-";"sacrifier";"-";"+";"-";"pion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sacrifié ce pion"
"872";"+";"-";"<E>";"-";"-";"saisir";"-";"+";"-";"données";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a saisi les données"
"873";"~";"~";"<E>";"-";"-";"salir";"-";"+";"-";"sentiment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sali les plus beaux sentiments"
"874";"~";"~";"<E>";"-";"-";"saluer";"-";"+";"-";"drapeau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Bob a salué le drapeau"
"875";"~";"~";"<E>";"-";"-";"saluer";"-";"+";"-";"gradé";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a salué le capitaine"
"876";"+";"-";"<E>";"-";"-";"satisfaire";"-";"+";"-";"demande";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"Max a satisfait la demande de Luc"
"877";"~";"~";"<E>";"-";"-";"saturer";"-";"+";"-";"radio";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a saturé la radio"
"878";"~";"~";"<E>";"-";"-";"sauter";"-";"+";"-";"hauteur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sauté en hauteur"
"879";"~";"~";"<E>";"-";"-";"sauter";"-";"+";"-";"classe";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sauté un classe"
"880";"~";"~";"<E>";"-";"-";"sauvegarder";"-";"+";"-";"donnée";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sauvegarder les données"
"881";"+";"-";"<E>";"-";"-";"savoir";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max sait cette langue"
"882";"~";"~";"<E>";"-";"-";"savoir";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max sait son texte"
"883";"~";"~";"<E>";"-";"-";"sceller";"-";"+";"-";"envoi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a scellé son envoi"
"884";"~";"~";"<E>";"-";"-";"sceller";"-";"+";"-";"contrat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a scellé son contrat"
"885";"+";"-";"<E>";"-";"-";"sécher";"-";"+";"-";"cours";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a séché le cours de Math"
"886";"~";"~";"<E>";"-";"-";"sécher";"-";"+";"-";"bouteille";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a séché la bouteille"
"887";"+";"-";"<E>";"-";"-";"secouer";"-";"+";"-";"torpeur";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max secoue sa torpeur"
"888";"~";"~";"<E>";"-";"-";"secouer";"-";"+";"-";"tête";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max secoue la tête"
"889";"~";"~";"<E>";"-";"-";"sélectionner";"-";"+";"-";"race";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le biologiste sélectionne une race de boeuf"
"890";"~";"~";"<E>";"-";"-";"semer";"-";"+";"-";"désordre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a semé le désordre"
"891";"~";"~";"<E>";"-";"-";"sentir";"-";"+";"-";"genou";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max sent son genou"
"892";"~";"~";"<E>";"-";"-";"sentir";"-";"+";"-";"rôle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max sent son rôle"
"893";"~";"~";"<E>";"-";"-";"sentir";"-";"+";"-";"sensation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max sent une sensation"
"894";"~";"~";"<E>";"-";"-";"séparer";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a séparé les adversaires"
"895";"~";"~";"<E>";"-";"-";"serrer";"-";"+";"-";"lien";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max serre le lien"
"896";"~";"~";"<E>";"-";"-";"servir";"-";"+";"-";"intérêt";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette histoire sert les intérêts de Max"
"897";"~";"~";"<E>";"-";"-";"servir";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a servi une balle"
"898";"~";"~";"<E>";"-";"-";"shooter";"-";"+";"-";"tir";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max shoote un tir"
"899";"~";"~";"<E>";"-";"-";"shunter";"-";"+";"-";"circuit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a shunté le circuit"
"900";"~";"~";"<E>";"-";"-";"siffler";"-";"+";"-";"événement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le chef de gare a sifflé un événement"
"901";"+";"-";"<E>";"-";"-";"signer";"-";"+";"-";"action";"+";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a signé cette action"
"902";"~";"~";"<E>";"-";"-";"signer";"-";"+";"-";"accord";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a signé un accord avec cette entreprise"
"903";"~";"~";"<E>";"-";"-";"skipper";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a skippé ce bateau"
"904";"~";"~";"<E>";"-";"-";"slicer";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a slicé sa balle"
"905";"~";"~";"<E>";"-";"-";"smasher";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a smashé la balle"
"906";"~";"~";"<E>";"-";"-";"socialiser";"-";"+";"-";"industrie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le nouveau régime a socialisé le régime"
"907";"~";"~";"<E>";"-";"-";"soigner";"-";"+";"-";"grippe";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a soigné sa grippe"
"908";"~";"~";"<E>";"-";"-";"solariser";"-";"+";"-";"pellicule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a solarisé la pellicule"
"909";"+";"-";"<E>";"-";"-";"solder";"-";"+";"-";"compte";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a soldé son compte"
"910";"~";"~";"<E>";"-";"-";"solfier";"-";"+";"-";"partition";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a solfié la partition"
"911";"~";"~";"<E>";"-";"-";"solliciter";"-";"+";"-";"attention";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce texte sollicite l'attention de Paul"
"912";"~";"~";"<E>";"-";"-";"solutionner";"-";"+";"-";"problème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a solutionné le problème"
"913";"+";"-";"<E>";"-";"-";"somatiser";"-";"+";"-";"problème";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Flo somatise ses problèmes"
"914";"~";"~";"<E>";"-";"-";"sonder";"-";"+";"-";"population";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sondé cette population"
"915";"~";"~";"<E>";"-";"-";"sonder";"-";"+";"-";"citerne";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a sondé la citerne"
"916";"+";"-";"<E>";"-";"-";"sonner";"-";"+";"-";"cloche";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max sonne la cloche"
"917";"~";"~";"<E>";"-";"-";"sonner";"-";"+";"-";"matines";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max sonne les matines"
"918";"+";"-";"<E>";"-";"-";"sortir";"-";"+";"-";"arme";"-";" -";"+";"+";"-";"-";"-";"<E>";"?";"Max sort une arme"
"919";"+";"-";"<E>";"-";"-";"sortir";"-";"+";"-";"chien";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max sort le chien"
"920";"~";"~";"<E>";"-";"-";"sortir";"-";"+";"-";"affaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce journal a sorti cette affaire"
"921";"~";"~";"<E>";"-";"-";"sortir";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Gap a sorti son adversaire  du championnat"
"922";"~";"~";"<E>";"-";"-";"sortir";"-";"+";"-";"numéro";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sorti un bon numéro"
"923";"+";"-";"<E>";"-";"-";"sortir";"-";"+";"-";"produit";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max a sorti un nouveau produit (E + sur le marché) "
"924";"-";"+";"<E>";"-";"-";"souffler";"-";"+";"-";"discorde";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Ce parti souffle la discorde"
"925";"~";"~";"<E>";"-";"-";"souffler";"-";"+";"-";"flamme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a soufflé la flamme de la bougie"
"926";"~";"~";"<E>";"-";"-";"souffrir";"-";"+";"-";"souffrance";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a souffert de grandes souffrances"
"927";"~";"~";"<E>";"-";"-";"souhaiter";"-";"+";"-";"fête";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max souhaite sa fête à Luc"
"928";"-";"-";"<E>";"-";"-";"soulager";"-";"+";"-";"douleur";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"L'aspirine soulage la douleur"
"929";"~";"~";"<E>";"-";"-";"soulever";"-";"+";"-";"objection";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette mesure soulève des objections chez les cadres"
"930";"~";"~";"<E>";"-";"-";"soulever";"-";"+";"-";"question";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a soulevé la question"
"931";"~";"~";"<E>";"-";"-";"soulever";"-";"+";"-";"bras";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max soulève les bras"
"932";"~";"~";"<E>";"-";"-";"souligner";"-";"+";"-";"contour";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette robe souligne les contours de Léa"
"933";"~";"~";"<E>";"-";"-";"souquer";"-";"+";"-";"corde";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max soude la corde"
"934";"~";"~";"<E>";"-";"-";"sourcer";"-";"+";"-";"information";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le journaliste source l'information"
"935";"~";"~";"<E>";"-";"-";"souscrire";"-";"+";"-";"contrat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Luc a souscrit un contrat à l'UAP"
"936";"~";"~";"<E>";"-";"-";"sous-exposer";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a sous-exposé son film"
"937";"~";"~";"<E>";"-";"-";"stérer";"-";"+";"-";"bois";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a stéré le bois"
"938";"~";"~";"<E>";"-";"-";"stopper";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le goal a stoppé la balle"
"939";"~";"~";"<E>";"-";"-";"subordonner";"-";"+";"-";"phrase";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a subordonné cette phrase à celle là"
"940";"~";"~";"<E>";"-";"-";"suborner";"-";"+";"-";"femme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ma a suborné cette femme"
"941";"~";"~";"<E>";"-";"-";"subvertir";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a subverti le sens de ce texte"
"942";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"article";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le marchand suit cet article"
"943";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"émission";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ma a suivi cet émission à la télé"
"944";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"traitement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max suit un traitement"
"945";"+";"-";"<E>";"-";"-";"suivre";"-";"+";"-";"conseil";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max suit le conseil de Luc"
"946";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"cours";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La maladie suit son cours normal"
"947";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"stage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max suit un stage"
"948";"~";"~";"<E>";"-";"-";"surexposer";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a surexposé son film"
"949";"+";"-";"<E>";"-";"-";"surveiller";"-";"+";"-";"santé";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max surveille sa santé"
"950";"~";"~";"<E>";"-";"-";"surveiller";"-";"+";"-";"réaction";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max surveille ses réactions"
"951";"~";"~";"<E>";"-";"-";"suspecter";"-";"+";"-";"sincérité";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Je suspecte sa sincérité"
"952";"~";"~";"<E>";"-";"-";"syllaber";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max syllabe ses mots"
"953";"~";"~";"<E>";"-";"-";"synchroniser";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max synchronise ce film"
"954";"~";"~";"<E>";"-";"-";"synthétiser";"-";"+";"-";"voix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max synthétise la voix humaine"
"955";"+";"-";"<E>";"-";"-";"tabuler";"-";"+";"-";"espacement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a tabulé les espacements de son tableau"
"956";"~";"~";"<E>";"-";"-";"talonner";"-";"+";"-";"monture";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a talonné sa monture"
"957";"+";"-";"<E>";"-";"-";"tamiser";"-";"+";"-";"lumière";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Le rideau a tamisé la lumière"
"958";"~";"~";"<E>";"-";"-";"tanner";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tanne cette peau"
"959";"~";"~";"<E>";"-";"-";"taquiner";"-";"+";"-";"poisson";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max taquine le poisson"
"960";"~";"~";"<E>";"-";"-";"tayloriser";"-";"+";"-";"travail";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a taylorisé ce travail"
"961";"+";"-";"<E>";"-";"-";"téléphoner";"-";"+";"-";"coup de poing";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a téléphoné son coup de poing"
"962";"+";"-";"<E>";"-";"-";"tendre";"-";"+";"-";"collet";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max tend des collets"
"963";"~";"~";"<E>";"-";"-";"tendre";"-";"+";"-";"relation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci a tendu les relations"
"964";"-";"+";"<E>";"-";"-";"tenir";"-";"+";"-";"eau";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Le réservoir tient (le liquide+l'eau)"
"965";"+";"-";"<E>";"-";"-";"tenir";"-";"+";"-";"établissement";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max tient un (établissement+hôtel)"
"966";"+";"-";"<E>";"-";"-";"tenir";"-";"+";"-";"position";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max tient (le garde à vous+la position)"
"967";"+";"-";"<E>";"-";"-";"tenir";"-";"+";"-";"réunion";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"On a tenu (une réunion+un colloque)"
"968";"~";"~";"<E>";"-";"-";"tenir";"-";"+";"-";"femme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tient sa femme"
"969";"~";"~";"<E>";"-";"-";"tenir";"-";"+";"-";"poste";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tient le poste de directeur"
"970";"~";"~";"<E>";"-";"-";"tenir Advm";"-";"+";"-";"alcool";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tient bien l'alcool"
"971";"~";"~";"<E>";"-";"-";"tilter";"-";"+";"-";"flipper";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a tilté le flipper"
"972";"~";"~";"<E>";"-";"-";"timbrer";"-";"+";"-";"son";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les vocalises on timbré le son de sa voix"
"973";"~";"~";"<E>";"-";"-";"tirer";"-";"+";"-";"chèque";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tire un chèque sur le compte de Luc"
"974";"~";"~";"<E>";"-";"-";"tirer";"-";"+";"-";"loterie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a tiré la loterie"
"975";"~";"~";"<E>";"-";"-";"tisonner";"-";"+";"-";"feu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tisonne le feu"
"976";"~";"~";"<E>";"-";"-";"tondre";"-";"+";"-";"gazon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max tond le gazon"
"977";"+";"-";"<E>";"-";"-";"tonsurer";"-";"+";"-";"crâne";"-";"-";"-";"+";"-";"+";"-";"<E>";"?";"On a tonsuré le crâne du frère de Max"
"978";"+";"-";"<E>";"-";"-";"torréfier";"-";"+";"-";"grains";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max torréfie des grains de café"
"979";"~";"~";"<E>";"-";"-";"tortiller";"-";"+";"-";"cul";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida tortille du cul"
"980";"~";"~";"<E>";"-";"-";"tourner";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a tourné un film"
"981";"~";"~";"<E>";"-";"-";"tourner";"-";"+";"-";"position";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a tourné la position adverse"
"982";"~";"~";"<E>";"-";"-";"tourner Advm";"-";"+";"-";"phrase";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a très bien tourné sa phrase"
"983";"~";"~";"<E>";"-";"-";"traîner";"-";"+";"-";"maladie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max traîne une maladie"
"984";"~";"~";"<E>";"-";"-";"traiter";"-";"+";"-";"dossier";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a traité ce dossier"
